4 356 24 0.JPG
0	1	d	2800	2000	0.2
1	1	f	2800	2000	0.4
2	1	j	2800	2000	0.6
3	1	k	2800	2000	0.8

0	1	d	2857	3370
3	1	k	3242	3370
1	0	f	3498	
2	0	j	3562	
1	0	f	3626	
2	0	j	3690	
1	0	f	3755	
2	0	j	3819	
1	1	f	3883	4396
2	1	j	4267	4396
0	0	d	4524	
3	0	k	4588	
0	0	d	4652	
3	0	k	4716	
0	0	d	4780	
3	0	k	4844	
0	1	d	4909	5421
3	1	k	5293	5421
1	0	f	5550	
2	0	j	5614	
1	0	f	5678	
2	0	j	5742	
1	1	f	5806	5934
0	0	d	6063	
3	0	k	6063	
0	0	d	6191	
0	0	d	6319	
3	0	k	6319	
1	0	f	6447	
0	0	d	6575	
3	0	k	6575	
2	0	j	6704	
0	0	d	6832	
3	0	k	6832	
3	1	k	6960	7473
0	1	d	7345	7473
1	0	f	7601	
2	0	j	7665	
1	0	f	7729	
2	0	j	7858	
1	1	f	7986	8499
2	1	j	8370	8499
0	0	d	8627	
3	0	k	8691	
0	0	d	8755	
3	0	k	8883	
0	1	d	9012	9268
3	0	k	9396	
2	0	j	9524	
1	0	f	9653	
0	0	d	9781	
1	0	f	9909	
2	0	j	10037	
3	0	k	10166	
2	0	j	10294	
1	0	f	10422	
0	0	d	10678	
3	0	k	10743	
0	0	d	10807	
3	0	k	10871	
0	0	d	10935	
0	1	d	11063	11576
3	1	k	11448	11576
1	0	f	11704	
2	0	j	11768	
1	0	f	11832	
2	0	j	11897	
1	0	f	11961	
2	0	j	12025	
1	1	f	12089	12602
2	1	j	12474	12602
0	0	d	12730	
3	0	k	12794	
0	0	d	12858	
3	0	k	12922	
0	0	d	12986	
3	0	k	13050	
0	1	d	13115	13627
3	1	k	13499	13627
1	0	f	13756	
2	0	j	13820	
1	0	f	13884	
2	0	j	13948	
1	0	f	14012	
0	0	d	14269	
3	0	k	14269	
3	0	k	14397	
0	0	d	14525	
3	0	k	14525	
2	0	j	14653	
0	0	d	14781	
3	0	k	14781	
1	0	f	14910	
0	0	d	15038	
3	0	k	15038	
0	1	d	15166	15935
3	1	k	15551	15935
1	1	f	16192	16961
2	1	j	16577	16961
0	1	d	19269	20038
3	1	k	19654	20038
1	0	f	19910	
2	0	j	20038	
0	1	d	20295	21064
3	1	k	20680	21064
1	0	f	20936	
2	0	j	21064	
0	1	d	21321	22090
1	0	f	21321	
3	1	k	21705	22090
2	0	j	21962	
2	0	j	22090	
2	0	j	22218	
0	0	d	22346	
3	0	k	22346	
0	0	d	22475	
0	0	d	22603	
3	0	k	22603	
1	0	f	22731	
0	0	d	22859	
